country,2016_Q3,2016_Q4,2016 Net Cumulative,2017_Q1,2017_Q2,2017_Q3,2017_Q4,2017 Net Cumulative,2018_Q1,2018_Q2,2018_Q3,2018_Q4,2018 Net Cumulative,2019_Q1,2019_Q2,2019_Q3,2019_Q4,2019 Net Cumulative ,2020_Q1,2020_Q2,2020_Q3,2020_Q4,2020 Net Cumulative,2021_Q1,2021_Q2,2021_Q3,2021_Q4,2021 Net Cumulative,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2022 Net Cumulative,2023_Q1,2023_Q2,  2023_Q3  , 2023_Q4 ,2023 Net Cumulative,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2024 Net Cumulative
Albania,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
Antigua and Barbuda,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5 ,  5 ,  5 ,  5 ,  5 ,  5 ,  5 ,  -   ,  5 ,  5 ,  5 ,  5 ,  -   ,5,5,5,5,  -   
Argentina,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  129 ,  129 ,  129 ,  129 ,  129 ,  129 ,  -   ,  620 ,  1921 ,  1921 ,  1921 ,  1792 ,1921,3927,3927,3927,  2006 
Armenia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  43 ,  43 ,  43 ,  43 ,43,77,77,77,  34 
Australia,  -   ,  318 ,  318 ,  318 ,  3084 ,  8225 ,  13496 ,  13178 ,  14373 ,  15295 ,  15295 ,  17429 ,  3933 ,  18209 ,  18530 ,  18530 ,  26520 ,  9091 ,  26520 ,  26520 ,  37707 ,  37707 ,  11187 ,  37707 ,  44798 ,  44798 ,  44798 ,  7091 ,  49355 ,  51898 ,  51898 ,  56994 ,  12196 ,  62632 ,  62632 ,  68251 ,  68251 ,  11257 ,68251,74597,80254,80254,  12003 
Austria,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  757 ,  757 ,  757 ,  757 ,  757 ,  757 ,  757 ,  -   ,  757 ,  757 ,  757 ,  757 ,  -   ,  757 ,  757 ,  757 ,  757 ,  -   ,  757 ,  757 ,  757 ,  757 ,  -   ,757,757,757,757,  -   
Azerbaijan,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  19 ,  19 ,  19 ,  19 ,19,100,100,100,  81 
Bahamas,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  23 ,  23 ,  23 ,  23 ,  23 ,  23 ,  85 ,  85 ,  62 ,  85 ,  85 ,  118 ,  118 ,  33 ,  118 ,  118 ,  118 ,  118 ,  -   ,  118 ,  138 ,  138 ,  138 ,  20 ,138,138,138,138,  -   
Bangladesh,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  206 ,  206 ,  206 ,  206 ,206,206,206,206,  -   
Barbados,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  74 ,  94 ,  109 ,  130 ,  130 ,  130 ,  130 ,  151 ,  151 ,  21 ,  151 ,  161 ,  161 ,  161 ,  10 ,  190 ,  190 ,  190 ,  190 ,  29 ,  190 ,  466 ,  466 ,  466 ,  276 ,466,466,466,466,  -   
Belarus,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  123 ,  123 ,  123 ,  123 ,  123 ,  123 ,  123 ,  -   ,  123 ,  123 ,  123 ,  123 ,  -   ,123,236,236,236,  113 
Belgium,  -   ,  128 ,  128 ,  128 ,  200 ,  200 ,  200 ,  72 ,  1000 ,  1300 ,  1300 ,  1300 ,  1100 ,  1300 ,  1300 ,  1300 ,  1300 ,  -   ,  1300 ,  1300 ,  1300 ,  1300 ,  -   ,  2318 ,  2318 ,  2318 ,  2318 ,  1018 ,  2318 ,  2318 ,  2318 ,  2318 ,  -   ,  2318 ,  5277 ,  5277 ,  5277 ,  2959 ,5277,6934,6934,6934,  1657 
Belize,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7 ,  7 ,  7 ,  7 ,7,68,68,68,  61 
Benin,  -   ,  256 ,  256 ,  256 ,  256 ,  256 ,  256 ,  -   ,  256 ,  256 ,  256 ,  256 ,  -   ,  256 ,  256 ,  256 ,  256 ,  -   ,  256 ,  256 ,  256 ,  256 ,  -   ,  256 ,  256 ,  256 ,  256 ,  -   ,  256 ,  256 ,  256 ,  613 ,  357 ,  652 ,  1053 ,  1297 ,  1750 ,  1137 ,2087,2441,3087,3087,  1337 
Bosnia & Herzegovina,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
Botswana,  -   ,  -   ,  -   ,  -   ,  43 ,  43 ,  43 ,  43 ,  43 ,  43 ,  70 ,  70 ,  27 ,  397 ,  397 ,  1317 ,  1317 ,  1247 ,  1317 ,  1317 ,  2129 ,  2618 ,  1301 ,  3905 ,  5958 ,  8993 ,  11758 ,  9140 ,  13944 ,  16892 ,  20172 ,  21972 ,  10214 ,  25346 ,  29294 ,  33643 ,  36981 ,  15009 ,40303,44114,47422,47422,  10441 
Brazil,  -   ,  409 ,  409 ,  409 ,  409 ,  620 ,  620 ,  211 ,  1225 ,  1225 ,  4164 ,  4181 ,  3561 ,  7606 ,  11034 ,  14576 ,  20085 ,  15904 ,  20085 ,  20869 ,  28193 ,  32453 ,  12368 ,  36713 ,  41952 ,  44089 ,  47821 ,  15368 ,  57597 ,  64066 ,  77087 ,  89410 ,  41589 ,  105775 ,  118761 ,  137987 ,  155452 ,  66042 ,166563,193371,216370,238071,  82619 
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,  1 
Bulgaria,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
Burkina Faso,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  53 ,  53 ,  53 ,  82 ,  82 ,  100 ,  100 ,  100 ,  100 ,  18 ,  100 ,  100 ,  100 ,  100 ,  -   ,  100 ,  100 ,  100 ,  100 ,  -   ,  100 ,  100 ,  100 ,  491 ,  391 ,  550 ,  1090 ,  1422 ,  1887 ,  1396 ,2405,3276,4064,4064,  2177 
Burundi,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  17 ,  30 ,  121 ,  601 ,  601 ,  895 ,  1051 ,  1408 ,  1908 ,  1307 ,  2364 ,  3318 ,  4580 ,  6181 ,  4273 ,7091,8294,10508,10508,  4327 
Cambodia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  53 ,  53 ,  117 ,  205 ,  511 ,  511 ,  458 ,  511 ,  511 ,  2207 ,  2207 ,  1696 ,  2207 ,  2207 ,  2207 ,  2207 ,  -   ,  2207 ,  5010 ,  5010 ,  5010 ,  2803 ,5010,8985,8985,8985,  3975 
Cameroon,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  208 ,  208 ,  208 ,  208 ,  208 ,  433 ,  1373 ,  1165 ,  1911 ,  2456 ,  3124 ,  3770 ,  2397 ,  4416 ,  5449 ,  6700 ,  8298 ,  4528 ,  9483 ,  11032 ,  12488 ,  13787 ,  5489 ,15018,16482,17973,17973,  4186 
Canada,  167 ,  200 ,  200 ,  200 ,  200 ,  200 ,  200 ,  -   ,  200 ,  2251 ,  5000 ,  5000 ,  4800 ,  5000 ,  5000 ,  5000 ,  5000 ,  -   ,  5000 ,  5000 ,  5000 ,  9657 ,  4657 ,  9657 ,  9657 ,  9657 ,  9657 ,  -   ,  9657 ,  9657 ,  9657 ,  9657 ,  -   ,  9657 ,  9657 ,  9657 ,  9657 ,  -   ,9657,35000,35000,35000,  25343 
Chile,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  259 ,  259 ,  259 ,  259 ,  259 ,  546 ,  546 ,  287 ,  546 ,  546 ,  865 ,  865 ,  319 ,  865 ,  865 ,  865 ,  865 ,  -   ,  865 ,  1387 ,  1387 ,  1387 ,  522 ,1387,1893,1893,1893,  506 
China,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
Colombia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  598 ,  598 ,  598 ,  598 ,  598 ,  598 ,  598 ,  -   ,  598 ,  1636 ,  1636 ,  1636 ,  1038 ,1936,6670,6670,6670,  5034 
Costa Rica,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  696 ,  696 ,  696 ,  696 ,  696 ,  696 ,  696 ,  -   ,  696 ,  696 ,  696 ,  696 ,  -   ,696,2562,2562,2562,  1866 
Cote d'Ivoire,  -   ,  -   ,  -   ,  -   ,  -   ,  204 ,  204 ,  204 ,  227 ,  227 ,  227 ,  254 ,  50 ,  304 ,  304 ,  304 ,  304 ,  50 ,  304 ,  304 ,  335 ,  683 ,  379 ,  745 ,  1056 ,  1756 ,  3058 ,  2375 ,  4293 ,  6943 ,  8726 ,  10138 ,  7080 ,  11443 ,  14918 ,  17971 ,  21238 ,  11100 ,25824,33109,38897,38897,  17659 
Croatia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  70 ,  70 ,  70 ,  70 ,  70 ,  70 ,  70 ,  -   ,  70 ,  70 ,  70 ,  70 ,  -   ,  70 ,  70 ,  70 ,  70 ,  -   ,  70 ,  420 ,  420 ,  420 ,  350 ,420,550,550,550,  130 
Cuba,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  28 ,  28 ,  28 ,  28 ,  28 ,  28 ,  28 ,  28 ,  -   ,  28 ,  28 ,  63 ,  63 ,  35 ,  63 ,  63 ,  63 ,  63 ,  -   ,  63 ,  317 ,  317 ,  317 ,  254 ,317,1541,1541,1541,  1224 
Cyprus,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  29 ,  29 ,  29 ,29,29,29,29,  -   
Czechia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  70 ,  70 ,  70 ,  70 ,  70 ,  70 ,  70 ,  70 ,  -   ,  70 ,  70 ,  70 ,  495 ,  425 ,  495 ,  495 ,  495 ,  495 ,  -   ,  495 ,  1172 ,  1172 ,  1172 ,  677 ,1172,1317,1317,1317,  145 
Denmark,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  14 ,  14 ,  14 ,  14 ,  14 ,  14 ,  14 ,  14 ,  14 ,  -   ,  14 ,  1200 ,  1350 ,  1350 ,  1336 ,  1350 ,  2350 ,  2350 ,  2350 ,  1000 ,  2350 ,  2350 ,  2350 ,  2350 ,  -   ,2350,2350,2350,2350,  -   
Djibouti,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  4 ,  4 ,  4 ,  4 ,4,10,10,10,  6 
Dominica,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2 ,  2 ,  2 ,  2 ,2,2,2,2,  -   
Dominican Republic,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  25 ,  84 ,  137 ,  137 ,  137 ,  213 ,  213 ,  546 ,  546 ,  409 ,  546 ,  546 ,  933 ,  1256 ,  710 ,  1405 ,  1591 ,  1851 ,  2381 ,  1125 ,  2475 ,  2542 ,  2779 ,  3120 ,  739 ,  3400 ,  3697 ,  3952 ,  4167 ,  1047 ,4389,4635,4746,4746,  579 
DR Congo,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  356 ,  356 ,  356 ,  356 ,  356 ,  356 ,  356 ,  356 ,  -   ,  356 ,  356 ,  1002 ,  1739 ,  1383 ,  2443 ,  3219 ,  4969 ,  9513 ,  7774 ,  12905 ,  16718 ,  20948 ,  26505 ,  16992 ,  30717 ,  34250 ,  40769 ,  47495 ,  20990 ,53615,61782,68488,68488,  20993 
Ecuador,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  71 ,  277 ,  277 ,  277 ,  277 ,  277 ,  370 ,  370 ,  93 ,  370 ,  370 ,  370 ,  370 ,  -   ,  370 ,  370 ,  370 ,  370 ,  -   ,370,1661,1661,1661,  1291 
El Salvador,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7 ,  7 ,  238 ,  993 ,  1912 ,  2905 ,  2898 ,3682,4346,5266,5266,  2361 
England,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5000 ,  5000 ,  6500 ,  10000 ,  10000 ,  10000 ,  11500 ,  13600 ,  13600 ,  3600 ,  13600 ,  13600 ,  13600 ,  13600 ,  -   ,  13600 ,  13600 ,  13600 ,  13600 ,  -   ,  13600 ,  13600 ,  13600 ,  24859 ,  11259 ,  61092 ,  61092 ,  61092 ,  86324 ,  61465 ,86324,86324,96562,96562,  10238 
Eritrea,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  29 ,  29 ,  29 ,  29 ,  29 ,  29 ,  29 ,  -   ,  29 ,  29 ,  29 ,  29 ,  -   ,29,29,29,29,  -   
Estonia,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0,0,0,0,  -   
Eswatini,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  490 ,  680 ,  680 ,  1353 ,  1353 ,  1541 ,  1990 ,  1990 ,  1990 ,  637 ,  4039 ,  4703 ,  8399 ,  13081 ,  11091 ,  16352 ,  19667 ,  23416 ,  28737 ,  15656 ,  34076 ,  45536 ,  49745 ,  57340 ,  28603 ,  62114 ,  71765 ,  80346 ,  84217 ,  26877 ,90853,98121,103626,103920,  19703 
Ethiopia,  2 ,  2 ,  2 ,  2 ,  2 ,  2 ,  2 ,  -   ,  124 ,  124 ,  124 ,  124 ,  122 ,  258 ,  258 ,  438 ,  438 ,  314 ,  438 ,  438 ,  1059 ,  2884 ,  2446 ,  5500 ,  9636 ,  12758 ,  16663 ,  13779 ,  19292 ,  23681 ,  28350 ,  31804 ,  15141 ,  34579 ,  39694 ,  44705 ,  49322 ,  17518 ,55342,61506,66951,66951,  17629 
Finland,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  150 ,  150 ,  150 ,  150 ,  150 ,  150 ,  150 ,  150 ,  150 ,  -   ,  150 ,  150 ,  150 ,  850 ,  700 ,  850 ,  1000 ,  1000 ,  1000 ,  150 ,  1500 ,  2000 ,  2000 ,  2000 ,  1000 ,2000,2000,2000,2000,  -   
